Epoch,Loss,Value
63,kl_loss_4,2.728
63,kl_loss_5,2.7833
63,kl_loss_6,2.0949
63,kl_loss_7,2.0539
63,kl_loss_8,2.1102
63,kl_loss_9,3.3739
63,loss,4715.7755
64,recon_loss,4673.4251
64,kl_loss,24.8171
64,kl_loss_0,2.6058
64,kl_loss_1,1.9404
64,kl_loss_2,2.4756
64,kl_loss_3,2.787
64,kl_loss_4,2.6761
64,kl_loss_5,2.7131
64,kl_loss_6,2.0943
64,kl_loss_7,2.0484
64,kl_loss_8,2.1211
64,kl_loss_9,3.3553
64,loss,4772.6937
65,recon_loss,4629.4097
65,kl_loss,25.6811
65,kl_loss_0,2.6799
65,kl_loss_1,1.9981
65,kl_loss_2,2.56
65,kl_loss_3,2.973
65,kl_loss_4,2.7749
65,kl_loss_5,2.8375
65,kl_loss_6,2.1003
65,kl_loss_7,2.073
65,kl_loss_8,2.2306
65,kl_loss_9,3.4537
65,loss,4732.1343
66,recon_loss,4627.5798
66,kl_loss,25.3508
66,kl_loss_0,2.7052
66,kl_loss_1,1.979
66,kl_loss_2,2.5706
66,kl_loss_3,2.8757
66,kl_loss_4,2.7607
66,kl_loss_5,2.7977
66,kl_loss_6,2.0698
66,kl_loss_7,2.006
66,kl_loss_8,2.1883
66,kl_loss_9,3.3976
66,loss,4728.983
67,recon_loss,4656.202
67,kl_loss,25.0201
67,kl_loss_0,2.603
67,kl_loss_1,1.9577
67,kl_loss_2,2.5155
67,kl_loss_3,2.8099
67,kl_loss_4,2.7436
67,kl_loss_5,2.7624
67,kl_loss_6,2.0929
67,kl_loss_7,2.0408
67,kl_loss_8,2.1378
67,kl_loss_9,3.3565
67,loss,4756.2825
68,recon_loss,4666.4583
68,kl_loss,25.309
68,kl_loss_0,2.6996
68,kl_loss_1,1.9955
68,kl_loss_2,2.5069
68,kl_loss_3,2.8407
68,kl_loss_4,2.7397
68,kl_loss_5,2.7688
68,kl_loss_6,2.1208
68,kl_loss_7,2.1213
68,kl_loss_8,2.1218
68,kl_loss_9,3.3939
68,loss,4767.6945
69,recon_loss,4639.8794
69,kl_loss,25.1516
69,kl_loss_0,2.6127
69,kl_loss_1,1.9692
69,kl_loss_2,2.4819
69,kl_loss_3,2.8803
69,kl_loss_4,2.7427
69,kl_loss_5,2.7889
69,kl_loss_6,2.1227
69,kl_loss_7,2.0458
69,kl_loss_8,2.1104
69,kl_loss_9,3.3971
69,loss,4740.4859
70,recon_loss,4641.1806
70,kl_loss,25.2953
70,kl_loss_0,2.6413
70,kl_loss_1,1.9743
70,kl_loss_2,2.6278
70,kl_loss_3,2.8225
70,kl_loss_4,2.6996
70,kl_loss_5,2.8019
70,kl_loss_6,2.1072
70,kl_loss_7,2.0748
70,kl_loss_8,2.1064
70,kl_loss_9,3.4394
70,loss,4742.3616
71,recon_loss,4624.4122
71,kl_loss,24.786
71,kl_loss_0,2.6041
71,kl_loss_1,1.9621
71,kl_loss_2,2.4501
71,kl_loss_3,2.8166
71,kl_loss_4,2.6581
71,kl_loss_5,2.7498
71,kl_loss_6,2.045
71,kl_loss_7,2.0379
71,kl_loss_8,2.0917
71,kl_loss_9,3.3706
71,loss,4723.5562
72,recon_loss,4598.7717
72,kl_loss,24.825
72,kl_loss_0,2.6387
72,kl_loss_1,1.929
72,kl_loss_2,2.4723
72,kl_loss_3,2.8311
72,kl_loss_4,2.6658
72,kl_loss_5,2.7003
72,kl_loss_6,2.0671
72,kl_loss_7,2.0908
72,kl_loss_8,2.0891
72,kl_loss_9,3.3408
72,loss,4698.0717
73,recon_loss,4622.7135
73,kl_loss,25.1361
73,kl_loss_0,2.6676
73,kl_loss_1,1.9901
73,kl_loss_2,2.505
73,kl_loss_3,2.8666
73,kl_loss_4,2.6613
73,kl_loss_5,2.7519
73,kl_loss_6,2.1103
73,kl_loss_7,2.0766
73,kl_loss_8,2.1396
73,kl_loss_9,3.3672
73,loss,4723.258
74,recon_loss,4633.5828
74,kl_loss,25.4245
74,kl_loss_0,2.6184
74,kl_loss_1,2.0306
74,kl_loss_2,2.4882
74,kl_loss_3,2.8919
74,kl_loss_4,2.738
